group,driver1,driver2,driver3,driver4,driver5,driver6,driver7,driver8,driver9,driver10,driver11,driver12
🇬🇧 British,7,5,5,2,2,2,1,1,1,1,1,1
🇩🇪 German,9,2,1,1,0,0,0,0,0,0,0,0
🇺🇸 American,2,1,1,1,1,1,1,1,1,1,1,0,0
🇧🇷 Brazilian,2,2,2,2,1,0,0,0,0,0,0,0
🇫🇷 French,6,1,1,0,0,0,0,0,0,0,0,0
🇮🇹 Italian,2,1,1,1,1,0,0,0,0,0,0,0
🇦🇷 Argentine,4,0,0,0,0,0,0,0,0,0,0,0
🇪🇸 Spanish,3,0,0,0,0,0,0,0,0,0,0,0
🇦🇹 Austrian,1,0,0,0,0,0,0,0,0,0,0,0
🇨🇦 Canadian,1,0,0,0,0,0,0,0,0,0,0,0
🇿🇦 South African,1,0,0,0,0,0,0,0,0,0,0,0
